City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Year,Month,Day,Weekday,Pollutant_Index,Anomaly
Kolkata,05-01-2015,298.2,515,86.7,101.8,156.6,35.3,4.17,19.4,197.7,448.2,Severe,2015,1,5,0,226.42,1
Bangalore,05-01-2015,263.8,321.1,21.4,40.5,48,0.6,7.3,56.2,14.2,413.8,Severe,2015,1,5,0,139.16,1
Delhi,06-01-2015,390.7,91.4,170.3,131.8,83.5,46,1.17,84.1,177.5,222.6,Poor,2015,1,6,1,175.1,1
Mumbai,06-01-2015,162.6,202.8,35.6,49.4,58,9.5,9.6,23.7,60.1,332.9,Very Poor,2015,1,6,1,99.72,1
Chennai,06-01-2015,179.9,275.3,136.4,13.9,118.3,21.8,7.44,98,148,346.2,Very Poor,2015,1,6,1,143.02,1
Kolkata,06-01-2015,191.5,560.1,176.3,4.5,115.4,49,8.89,23.2,35.5,355.1,Very Poor,2015,1,6,1,162.96,1
Bangalore,06-01-2015,432.2,500.7,162,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate,2015,1,6,1,243.44,1
Delhi,07-01-2015,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,432.3,Severe,2015,1,7,2,187.76,1
Mumbai,07-01-2015,485.1,549.4,175.2,40.5,201.8,39.2,7.54,10.6,52.5,169.2,Moderate,2015,1,7,2,227.62,1
Chennai,07-01-2015,325.4,129,184.1,57.5,111.3,32.9,3.27,44.9,173.7,475.4,Severe,2015,1,7,2,146.1,1
Kolkata,07-01-2015,121.4,120.8,153.5,10.4,222.7,40.1,4.96,28.8,51.1,301.3,Very Poor,2015,1,7,2,66.5,1
Bangalore,07-01-2015,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor,2015,1,7,2,200.48,1
Delhi,08-01-2015,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,465.2,Severe,2015,1,8,3,165.82,1
Mumbai,08-01-2015,97,302.5,14.6,148.8,105.5,43.7,1.8,32.9,141.4,252.5,Poor,2015,1,8,3,144.52,1
Chennai,08-01-2015,421,328.6,174.3,45.5,227.8,30.8,6.97,80.4,145.8,278.6,Poor,2015,1,8,3,204.26,1
Kolkata,08-01-2015,308.5,199.9,45.4,144.2,156.1,49.7,0.34,40.8,197.1,458.5,Severe,2015,1,8,3,178.1,1
Bangalore,08-01-2015,409.8,237.9,71.8,41.6,101,31.3,4.41,6.1,66.2,192,Moderate,2015,1,8,3,152.32,1
Delhi,09-01-2015,226.8,103,72.6,100.6,32.9,23.4,9.29,56.6,118.8,382.2,Very Poor,2015,1,9,4,121.16,1
Mumbai,09-01-2015,232.9,102.6,44.8,113.4,233.2,7.9,9.66,8.7,82.5,386.9,Very Poor,2015,1,9,4,108.02,1
Chennai,09-01-2015,74,295.4,98.2,105.5,165.2,48.7,2.18,95.6,51.9,245.4,Poor,2015,1,9,4,124.48,1
Kolkata,09-01-2015,172.4,142.6,142.3,71.3,111.4,26.7,1.27,11.2,86.7,340.4,Very Poor,2015,1,9,4,96.84,1
Bangalore,09-01-2015,77.8,270.7,110,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor,2015,1,9,4,129.58,1
Delhi,10-01-2015,316.8,209.1,68,100,30.2,36.8,3.37,11.2,4.4,466.8,Severe,2015,1,10,5,128.3,1
Mumbai,10-01-2015,308.7,415.3,23.9,97.4,51.7,10.6,4.86,29.6,87.9,458.7,Severe,2015,1,10,5,187.78,1
Chennai,10-01-2015,308.1,73,26.2,134.3,136.4,42.9,3.5,48.5,113,458.1,Severe,2015,1,10,5,135.38,1
Kolkata,10-01-2015,415.5,586.8,18.3,138.5,100,47.7,4.33,59.6,59.2,158.5,Moderate,2015,1,10,5,251.92,-1
Bangalore,10-01-2015,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe,2015,1,10,5,203.18,1
Delhi,11-01-2015,439.9,495.3,135.7,93.8,140.1,22.8,9.87,79.3,119.7,493.3,Severe,2015,1,11,6,245.6,1
Mumbai,11-01-2015,144.3,120.8,71.2,58.2,213,45.1,5.15,95.9,63.6,318.9,Very Poor,2015,1,11,6,96.56,1
Chennai,11-01-2015,279.8,525.6,110.7,1.1,200.5,45.4,2.65,62.1,171,429.8,Severe,2015,1,11,6,207.92,1
Kolkata,11-01-2015,340.3,457.5,116,148.7,159.7,9.2,6.18,60.6,59.5,490.3,Severe,2015,1,11,6,213.32,1
Bangalore,11-01-2015,470.4,237.2,9.3,49.5,137.8,43,8.68,92.9,158,191.5,Moderate,2015,1,11,6,201.6,1
Delhi,12-01-2015,59,239.1,175.8,118.4,153.6,32.1,0.1,90.7,191.8,258.9,Poor,2015,1,12,0,139.8,1
Mumbai,12-01-2015,126.2,470,183.4,71.4,121.9,30.5,9.13,71.7,59.2,457,Severe,2015,1,12,0,159.7,1
Chennai,12-01-2015,391.2,24.4,3.1,133.3,222.1,21.2,9.57,6.3,176.9,221.1,Poor,2015,1,12,0,146.42,1
Kolkata,12-01-2015,44.1,533.8,170.5,34.1,75.2,27.7,7.51,50.7,19.7,168.8,Moderate,2015,1,12,0,136.48,1
Bangalore,12-01-2015,138.2,431.8,119,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe,2015,1,12,0,163.2,1
Delhi,13-01-2015,15.9,408.7,182.4,33.6,112.6,31.7,9.49,12.3,25.7,373.3,Very Poor,2015,1,13,1,99.24,1
Mumbai,13-01-2015,11.4,261.5,120,70.2,2.9,23.6,7.79,21,104,211.5,Poor,2015,1,13,1,93.62,1
Chennai,13-01-2015,151.9,242.5,85.7,1.5,57.8,0.5,8.16,50.4,104.8,324.7,Very Poor,2015,1,13,1,110.22,1
Kolkata,13-01-2015,155,353.5,133.8,48.9,73.2,34.3,9.64,11.2,86.6,327.1,Very Poor,2015,1,13,1,131.04,1
Bangalore,13-01-2015,146.7,59.5,48.2,32.7,222.4,14.6,1,50.5,101.1,320.7,Very Poor,2015,1,13,1,78.1,1
Delhi,14-01-2015,33.1,568.6,154.4,145.7,96.1,16.7,2.65,13.5,89.5,165.7,Moderate,2015,1,14,2,170.08,1
Mumbai,14-01-2015,260.6,450.2,8.1,1.6,136,45.3,6.09,14.5,46,428.5,Severe,2015,1,14,2,154.58,1
Chennai,14-01-2015,338.7,223.1,103.9,94.8,204.3,1.2,9.61,4.1,80.1,488.7,Severe,2015,1,14,2,148.16,1
Kolkata,14-01-2015,93.6,283.7,49.3,35.6,14.5,14.7,3.79,42.8,85.2,233.7,Poor,2015,1,14,2,108.18,1
Bangalore,14-01-2015,487,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24,155.3,Moderate,2015,1,14,2,142.18,1
Delhi,15-01-2015,67.7,597.1,17.2,34.8,180.1,38.8,5.05,13.3,48.5,138,Moderate,2015,1,15,3,152.28,1
Mumbai,15-01-2015,429.8,345.4,13.4,50.2,120.3,33.9,4.27,35.3,127.1,295.4,Poor,2015,1,15,3,197.56,1
Chennai,15-01-2015,172.5,481.8,67.9,2.1,132.4,11.6,8.75,49,39.6,473.9,Severe,2015,1,15,3,149,1
Kolkata,15-01-2015,63.1,121.1,37.5,8.3,68.8,27.9,3.54,5.6,171.2,206.6,Poor,2015,1,15,3,73.86,1
Bangalore,15-01-2015,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor,2015,1,15,3,230.42,1
Delhi,16-01-2015,283.3,260.2,137,12.5,158.5,1.9,1.88,91.3,167.1,433.3,Severe,2015,1,16,4,162.88,1
Mumbai,16-01-2015,400.7,50.6,24.2,105.4,103.1,18.7,0.04,27,70.9,125.4,Moderate,2015,1,16,4,130.92,1
Chennai,16-01-2015,259.6,202,58.3,0.9,132.1,42,0.94,19.9,194.9,409.6,Severe,2015,1,16,4,135.46,1
Kolkata,16-01-2015,42.1,279.2,32.5,74.1,173.4,35,4.72,82.4,169,229.2,Poor,2015,1,16,4,129.36,1
Bangalore,16-01-2015,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor,2015,1,16,4,95.42,1
Delhi,17-01-2015,378.5,185.2,124.3,129.2,116.2,37.9,6.57,98.7,81.2,157,Moderate,2015,1,17,5,174.56,1
Mumbai,17-01-2015,310.7,276.4,172.9,41.5,173.6,26.4,6.74,44.2,175.1,460.7,Severe,2015,1,17,5,169.58,1
Chennai,17-01-2015,391.2,19.4,106.1,149,30.2,35.2,9.12,7.8,109.5,189,Moderate,2015,1,17,5,135.38,1
Kolkata,17-01-2015,475.3,296.7,119.5,70.6,130,39.1,8.12,97.8,59.1,246.7,Poor,2015,1,17,5,199.9,1
Bangalore,17-01-2015,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe,2015,1,17,5,196.44,1
Delhi,18-01-2015,486.5,401.3,97.5,1,67.5,21.3,2.88,63,171.9,364,Very Poor,2015,1,18,6,224.74,1
Mumbai,18-01-2015,408.4,375.4,35.3,72.6,175,4.8,2.2,23.2,67.5,331.6,Very Poor,2015,1,18,6,189.42,1
Chennai,18-01-2015,481.6,113.7,126.7,7.9,249.5,24.2,5.22,39.3,197.5,273.3,Poor,2015,1,18,6,168,1
Kolkata,18-01-2015,408.7,407.1,6.2,70.4,242.6,45.6,0.4,97,94,371.3,Very Poor,2015,1,18,6,215.44,1
Bangalore,18-01-2015,14,456.9,88.4,112.2,166.8,16,8.68,11.9,27.3,438.2,Severe,2015,1,18,6,124.46,1
Delhi,19-01-2015,176.7,498,108.8,98.2,224.1,44.6,7.15,95.7,100.2,497.1,Severe,2015,1,19,0,193.76,1
Mumbai,19-01-2015,358,290.4,84.5,102,122.5,19.6,5.01,62.5,104.3,240.4,Poor,2015,1,19,0,183.44,1
Chennai,19-01-2015,340.4,538.3,54.7,65.9,94.5,8.4,8.4,58.5,20.9,490.4,Severe,2015,1,19,0,204.8,1
Kolkata,19-01-2015,58.6,534.5,91.6,6.5,42,47.9,1.92,64.1,171.6,207.6,Poor,2015,1,19,0,167.06,1
Bangalore,19-01-2015,306.8,78,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe,2015,1,19,0,128.42,1
Delhi,20-01-2015,187.7,42.5,138.5,4.3,82.5,33.2,1.87,60.7,172.3,352.2,Very Poor,2015,1,20,1,93.5,1
Mumbai,20-01-2015,478.8,359.8,45.7,50.3,151.7,27.3,2.52,39.4,61.1,312,Very Poor,2015,1,20,1,197.88,1
Chennai,20-01-2015,144.8,52.9,13.8,109.9,38.9,26.7,6.93,7.2,17.3,319.3,Very Poor,2015,1,20,1,66.42,1
Kolkata,20-01-2015,394.8,356.9,31.4,108.2,137.9,33,9.2,11.3,188,308.4,Very Poor,2015,1,20,1,211.84,1
Bangalore,20-01-2015,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate,2015,1,20,1,180.64,1
Delhi,21-01-2015,3.5,506.4,143.5,146.1,53.1,2.6,3.92,81.4,53.8,166.1,Moderate,2015,1,21,2,158.24,1
Mumbai,21-01-2015,70.9,86.1,156.8,15.5,28.9,19.8,2.19,22.8,56.6,134.8,Moderate,2015,1,21,2,50.38,-1
Chennai,21-01-2015,374,277.3,90.4,146.5,113.7,45.7,0.41,89.6,154.4,227.3,Poor,2015,1,21,2,208.36,1
Kolkata,21-01-2015,96.1,514.2,160,57.8,35.7,36.7,1.08,69.3,155.2,218.4,Poor,2015,1,21,2,178.52,1
Bangalore,21-01-2015,21.2,271.6,43,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor,2015,1,21,2,112.74,1
Delhi,22-01-2015,403.8,423.9,106.4,41.3,106.2,23,8.67,68.2,135,392.4,Very Poor,2015,1,22,3,214.44,1
Mumbai,22-01-2015,131.2,368.1,24.2,80.9,9.5,28.5,6.61,37.5,40.1,322.4,Very Poor,2015,1,22,3,131.56,1
Chennai,22-01-2015,90,428.5,123.1,48.7,16.2,36.1,0.5,49.2,52.7,398.1,Very Poor,2015,1,22,3,133.82,1
Kolkata,22-01-2015,247.5,112.7,108,5.3,16.4,26.4,1.01,35.7,163.7,398.1,Very Poor,2015,1,22,3,112.98,1
Bangalore,22-01-2015,180.2,53,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor,2015,1,22,3,98.74,1
Delhi,23-01-2015,157.5,365.1,151.9,57.5,103.4,41.2,4.1,37,139.6,329,Very Poor,2015,1,23,4,151.34,1
Mumbai,23-01-2015,476.7,360.1,14.4,148.5,49.3,4.5,8.41,48.4,160.9,312.4,Very Poor,2015,1,23,4,238.92,1
Chennai,23-01-2015,153.9,337.5,18.1,114.3,148.8,26,0.53,17.6,93.1,326.2,Very Poor,2015,1,23,4,143.28,1
Kolkata,23-01-2015,437.7,541.7,83.8,91.2,88,44.1,6.09,2.6,17.6,151,Moderate,2015,1,23,4,218.16,1
Bangalore,23-01-2015,469,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate,2015,1,23,4,186.38,1
Delhi,24-01-2015,188.3,442.6,191,82.8,181.5,13.7,0.53,3.6,37.1,417.6,Severe,2015,1,24,5,150.88,1
Mumbai,24-01-2015,420.7,186.9,32.9,45.8,234.1,31.1,4.81,12.5,185.8,243.6,Poor,2015,1,24,5,170.34,1
Chennai,24-01-2015,232.1,581.7,104.6,50.3,226.3,47.5,5.06,38.1,17.9,386.3,Very Poor,2015,1,24,5,184.02,1
Kolkata,24-01-2015,141.5,208.7,172.3,79.3,191.1,8,5.06,27.3,20.2,316.7,Very Poor,2015,1,24,5,95.4,1
Bangalore,24-01-2015,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor,2015,1,24,5,196.8,1
Delhi,25-01-2015,397.3,457,112.9,100.4,87.4,21.1,7.67,76,2.7,438.3,Severe,2015,1,25,6,206.68,1
Mumbai,25-01-2015,353.4,178.3,105.4,79.3,104.7,48.1,4.61,23.1,181.1,231.7,Poor,2015,1,25,6,163.04,1
Chennai,25-01-2015,122.2,97.8,140.8,106,234.2,6.6,2.59,73.6,109.3,301.9,Very Poor,2015,1,25,6,101.78,1
Kolkata,25-01-2015,113.3,432.1,67.7,3.6,95.5,27.4,7.8,91.8,48.3,402.6,Severe,2015,1,25,6,137.82,1
Bangalore,25-01-2015,219.2,22.7,7.2,121.4,75,31.6,6.53,95.3,58.6,376.4,Very Poor,2015,1,25,6,103.44,1
Delhi,26-01-2015,336.2,576,52.7,6.6,157.1,0.4,4.15,96.1,165.4,486.2,Severe,2015,1,26,0,236.06,1
Mumbai,26-01-2015,52.5,410.4,132.1,61.3,162.1,18.6,3.19,18,198.3,375.4,Very Poor,2015,1,26,0,148.1,1
Chennai,26-01-2015,487.7,332.9,140.6,94.1,107.2,12.2,5.26,66.6,14.5,282.9,Poor,2015,1,26,0,199.16,1
Kolkata,26-01-2015,13.2,474.7,103.8,82.2,237,20.6,7.59,35.6,29.9,463.7,Severe,2015,1,26,0,127.12,1
Bangalore,26-01-2015,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe,2015,1,26,0,105.52,1
Delhi,27-01-2015,125.9,443,35,120.4,103.5,41.6,4.44,30.5,91.4,418.2,Severe,2015,1,27,1,162.24,1
Mumbai,27-01-2015,50.4,334.5,116.3,94.8,199.5,34.7,0.89,93.6,59.9,284.5,Poor,2015,1,27,1,126.64,1
Chennai,27-01-2015,258.8,116.4,139.9,139.7,153,4.8,2.74,51.1,181.9,408.8,Severe,2015,1,27,1,149.58,1
Kolkata,27-01-2015,316.8,527,168,28.6,113.8,14.1,2.1,95.6,91.4,466.8,Severe,2015,1,27,1,211.88,1
Bangalore,27-01-2015,469,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate,2015,1,27,1,193.86,1
Delhi,28-01-2015,67.1,557.4,141.8,141.9,20.8,39.4,5.7,58,4.3,161.9,Moderate,2015,1,28,2,165.74,1
Mumbai,28-01-2015,373.7,173.1,160.7,78.5,75.1,43.2,2.88,93.8,64.8,148.9,Moderate,2015,1,28,2,156.78,1
Chennai,28-01-2015,356.2,11.9,182.8,95.5,173.4,14.4,7.42,99.6,143.2,167.7,Moderate,2015,1,28,2,141.28,1
Kolkata,28-01-2015,4.5,41.8,77.2,123.5,201.1,44.8,7.97,36,109.7,174.6,Moderate,2015,1,28,2,63.1,1
Bangalore,28-01-2015,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor,2015,1,28,2,186.88,1
Delhi,29-01-2015,122.3,457.2,137.7,46.7,110.1,13.7,0.77,95,127.3,438.6,Severe,2015,1,29,3,169.7,1
Mumbai,29-01-2015,174.8,500.3,52,116.3,37,35.9,1.61,83.5,103.3,342.3,Very Poor,2015,1,29,3,195.64,1
Chennai,29-01-2015,485.9,513.1,163.1,135,140.5,37.7,3.37,9.8,18.7,155,Moderate,2015,1,29,3,232.5,-1
Kolkata,29-01-2015,436,595.6,160.1,86,27.5,2.9,5.1,9.6,77.4,138.6,Moderate,2015,1,29,3,240.92,1
Bangalore,29-01-2015,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe,2015,1,29,3,119.78,1
Delhi,30-01-2015,485.5,128,37.5,103.7,79.1,10.8,1.14,6.5,133.6,149.2,Moderate,2015,1,30,4,171.46,1
Mumbai,30-01-2015,481.7,472.6,30.1,92.2,166.7,37.6,5.35,39.2,133.2,460.7,Severe,2015,1,30,4,243.78,1
Chennai,30-01-2015,53.6,580.2,75.4,127.8,135.8,47.7,2.2,58,16.6,147.8,Moderate,2015,1,30,4,167.24,1
Kolkata,30-01-2015,140.8,249.9,130.4,95.8,244.7,12.8,1,79.8,8.9,316.2,Very Poor,2015,1,30,4,115.04,1
Bangalore,30-01-2015,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor,2015,1,30,4,135.78,1
Delhi,31-01-2015,405.9,355.9,116.2,88.1,125.4,26.6,6.87,87.6,109.2,307.1,Very Poor,2015,1,31,5,209.34,1
Mumbai,31-01-2015,466.3,497,125.7,12.5,188.5,4.4,9.37,41.2,83.4,495.7,Severe,2015,1,31,5,220.08,1
Chennai,31-01-2015,18.5,301.8,131.1,135.2,90.1,49.8,0.11,97.6,168.6,251.8,Poor,2015,1,31,5,144.34,1
Kolkata,31-01-2015,345.1,486.9,167.1,34.3,31.2,1.3,3.72,87.9,124.3,495.1,Severe,2015,1,31,5,215.7,1
Bangalore,31-01-2015,327.5,71.1,73.7,105.1,203.7,3,6.85,4.4,28.9,477.5,Severe,2015,1,31,5,107.4,1
Delhi,01-02-2015,4.2,172.2,85.1,0.9,146.2,47.1,2.99,91,36.4,148.3,Moderate,2015,2,1,6,60.94,-1
Mumbai,01-02-2015,310.5,197.1,140.2,126.3,167,8,6.77,76.9,156.1,460.5,Severe,2015,2,1,6,173.38,1
Chennai,01-02-2015,280.3,116.3,183.7,7.2,209.2,37.6,3.96,47.2,111.6,430.3,Severe,2015,2,1,6,112.52,1
Kolkata,01-02-2015,73.6,568.9,175.9,138.6,231.9,5.6,9.39,51.7,133,192.4,Moderate,2015,2,1,6,193.16,1
Bangalore,01-02-2015,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59,6.3,396.6,Very Poor,2015,2,1,6,159.98,1
Delhi,02-02-2015,334.2,286.2,108.7,139.7,54.2,32.4,2.99,14.9,76.3,484.2,Severe,2015,2,2,0,170.26,1
Mumbai,02-02-2015,44.3,385.8,51,1.3,237.1,18.4,1.2,35.8,71.8,344.6,Very Poor,2015,2,2,0,107.8,1
Chennai,02-02-2015,415.4,322.5,7.9,122.1,242.8,23.3,8.88,17.4,198.4,275.6,Poor,2015,2,2,0,215.16,1
Kolkata,02-02-2015,469.7,124.6,7.7,63.3,69.1,20.3,3.5,16.3,83.5,118.5,Moderate,2015,2,2,0,151.48,1
Bangalore,02-02-2015,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe,2015,2,2,0,99.74,1
Delhi,03-02-2015,292.7,5.6,160.1,110.9,97.6,34.1,4.79,49.8,55.2,442.7,Severe,2015,2,3,1,102.84,1
Mumbai,03-02-2015,229.6,71.9,145.4,116.6,194.1,5.3,0.43,87.5,38.9,384.3,Very Poor,2015,2,3,1,108.9,1
Chennai,03-02-2015,391,113.5,71.8,54.5,203.3,7.7,5.41,32.7,43,142.5,Moderate,2015,2,3,1,126.94,1
Kolkata,03-02-2015,304.6,10,195.8,15.7,63.8,32.3,9.1,18.4,123.3,454.6,Severe,2015,2,3,1,94.4,1
Bangalore,03-02-2015,413.9,371,153.5,37.8,117.5,6.5,8.55,56.1,132,326.1,Very Poor,2015,2,3,1,202.16,1
Delhi,04-02-2015,413.1,254.3,156.9,44.4,239.4,23.1,5.08,39.5,28.9,204.3,Poor,2015,2,4,2,156.04,1
Mumbai,04-02-2015,415.4,72.9,175.3,19.3,184.6,6.8,8.19,88.4,194,264.5,Poor,2015,2,4,2,158,1
Chennai,04-02-2015,212.3,11.5,189.4,1.7,208.4,8.1,6.44,12.1,64.9,371.1,Very Poor,2015,2,4,2,60.5,1
Kolkata,04-02-2015,439.2,345.4,147.4,5.5,175.3,41.5,3.03,84.5,177.7,295.4,Poor,2015,2,4,2,210.46,1
Bangalore,04-02-2015,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor,2015,2,4,2,108.78,1
Delhi,05-02-2015,172.9,328.3,79.4,28.6,207,13.3,8.51,85.2,189.5,340.8,Very Poor,2015,2,5,3,160.9,1
Mumbai,05-02-2015,477.3,171.5,76.4,121.4,192.5,3.2,5.81,45.2,50.7,147.8,Moderate,2015,2,5,3,173.22,1
Chennai,05-02-2015,301.3,302.1,100.1,81.7,220.6,11.1,4.91,14.1,136.9,451.3,Severe,2015,2,5,3,167.22,1
Kolkata,05-02-2015,218.2,15.7,67.1,92.3,184.2,44.2,9.91,43.6,118.7,375.6,Very Poor,2015,2,5,3,97.7,1
Bangalore,05-02-2015,73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,144.7,Moderate,2015,2,5,3,60.5,1
Delhi,06-02-2015,23.8,436.9,190.1,88.6,221.6,1.1,0.46,71.2,144.9,409.5,Severe,2015,2,6,4,153.08,1
Mumbai,06-02-2015,352,426.6,106.5,20.6,117.8,10.4,6.37,47.3,135.9,395.7,Very Poor,2015,2,6,4,196.48,1
Chennai,06-02-2015,452.7,182.3,3.6,65.3,130.9,15.3,2.14,81.4,192,259.4,Poor,2015,2,6,4,194.74,1
Kolkata,06-02-2015,417.5,404.5,179.3,67.2,182,30.9,0.15,89.3,104.3,368,Very Poor,2015,2,6,4,216.56,1
Bangalore,06-02-2015,56.8,201.4,48.7,121,97,26.2,9.2,20.6,48.5,190,Moderate,2015,2,6,4,89.66,1
Delhi,07-02-2015,207.1,288.6,197.7,66.6,80.7,49.8,0.73,71.2,51,367.1,Very Poor,2015,2,7,5,136.9,1
Mumbai,07-02-2015,104.9,592,75.4,43,128.7,45,1.28,49.4,9.3,248.5,Poor,2015,2,7,5,159.72,1
Chennai,07-02-2015,170.4,223.5,38,72.9,120.2,39.1,2.97,32.6,24,338.9,Very Poor,2015,2,7,5,104.68,1
Kolkata,07-02-2015,332.8,347.2,142.9,117.4,210.8,49,3.04,43.8,147,482.8,Severe,2015,2,7,5,197.64,1
Bangalore,07-02-2015,375.1,280.7,6.4,115.6,116,37.8,2.47,4,71.1,230.7,Poor,2015,2,7,5,169.3,1
Delhi,08-02-2015,21,132.5,140.7,105.3,139.7,27.5,1.86,26.8,18.6,125.3,Moderate,2015,2,8,6,60.84,-1
Mumbai,08-02-2015,457.6,131.8,95,84.8,125.8,8.4,7.64,28.6,119,170.4,Moderate,2015,2,8,6,164.36,1
Chennai,08-02-2015,280.6,536.1,181.9,12.9,69.1,8,6.04,72.1,172.8,430.6,Severe,2015,2,8,6,214.9,1
Kolkata,08-02-2015,138.5,201.9,9.5,103.3,54.5,2.5,0.15,45,166.9,314.4,Very Poor,2015,2,8,6,131.12,1
Bangalore,08-02-2015,287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,437.3,Severe,2015,2,8,6,188.4,1
